URL,性能分数,LCP,LCP评级,TTFB,TTFB评级,FCP,FCP评级,TBT,TBT评级,CLS,CLS评级,INP,INP评级,LCP元素/来源,最大阻塞资源,INP交互元素,错误信息
https://www.ainvest.com/news/china-silver-fund-plunges-string-moves-quell-frenzy-2512-97/,31,26.66s,POOR,22ms,GOOD,2.42s,NI,10.30s,POOR,0.06981607923920596,GOOD,,N/A,"div.termly-styles-root-b0aebb > div.termly-styles-main-bf5ef8 > div.termly-styles-content-fcefe4 > div.termly-styles-message-e9e76f","","",
https://www.ainvest.com/news/ripple-national-bank-license-xrp-path-institutional-adoption-2512/,47,3.51s,NI,260ms,GOOD,2.42s,NI,8.50s,POOR,0.05608466069220466,GOOD,,N/A,"","","",
https://www.ainvest.com/news/reports-allege-76-5-billion-spending-fraudulent-california-2512/,38,5.20s,POOR,18ms,GOOD,2.43s,NI,10.46s,POOR,0.04532288570896704,GOOD,,N/A,"","","",
https://www.ainvest.com/news/dan-snyder-builds-life-london-67-million-home-investment-firm-2508/,49,3.38s,NI,16ms,GOOD,2.42s,NI,15.40s,POOR,0.023091568345118944,GOOD,,N/A,"","","",
https://www.ainvest.com/news/notion-12b-tender-offer-spurs-liquidity-early-stakeholders-2512/,32,27.93s,POOR,150ms,GOOD,2.42s,NI,10.68s,POOR,0.010597361821857462,GOOD,,N/A,"div.termly-styles-root-b0aebb > div.termly-styles-main-bf5ef8 > div.termly-styles-content-fcefe4 > div.termly-styles-message-e9e76f","","",
https://www.ainvest.com/news/structural-shift-silver-markets-implications-investors-2512/,34,5.72s,POOR,183ms,GOOD,2.57s,NI,7.98s,POOR,0.08734001797171978,GOOD,,N/A,"","","",
https://www.ainvest.com/news/platinum-toilet-bet-crashes-1-4b-loss-pressures-pe-giants-2511/,32,26.98s,POOR,248ms,GOOD,2.42s,NI,12.75s,POOR,0.03740412781002569,GOOD,,N/A,"div.termly-styles-root-b0aebb > div.termly-styles-main-bf5ef8 > div.termly-styles-content-fcefe4 > div.termly-styles-message-e9e76f","","",
https://www.ainvest.com/news/blockdag-long-term-emission-model-runtime-upgradability-blueprint-sustainable-network-growth-1000x-returns-2512/,46,3.70s,NI,23ms,GOOD,2.57s,NI,11.06s,POOR,0.03576007346467859,GOOD,,N/A,"","","",
https://www.ainvest.com/news/thoma-bravo-12-billion-shipping-logistics-merger-strategic-bet-private-credit-operational-synergy-2512/,32,14.66s,POOR,22ms,GOOD,2.42s,NI,18.02s,POOR,0.04778114239617416,GOOD,,N/A,"div > div.w-full > div.pb-[48px] > h1.text-[28px]","","",
https://www.ainvest.com/news/pomdoctor-plummets-89-single-session-black-swan-move-2512/,32,15.00s,POOR,216ms,GOOD,2.42s,NI,14.52s,POOR,0.031672143099364586,GOOD,,N/A,"div > div.w-full > div.pb-[48px] > h1.text-[28px]","","",
https://www.ainvest.com/news/shanghai-silver-surges-industrial-demand-trading-78-55-ounce-premium-2512/,35,6.25s,POOR,16ms,GOOD,2.42s,NI,14.59s,POOR,0.05062715996013868,GOOD,,N/A,"","","",
https://www.ainvest.com/news/broadcom-avgo-plunges-2-7-sudden-downturn-2512/,50,3.24s,NI,418ms,GOOD,2.27s,NI,16.45s,POOR,0.031153231451159665,GOOD,,N/A,"","","",
